Model_Type,Term,Estimate,Std_Error,z_or_t,p_value,CI_Lower,CI_Upper
OLS on aggregated question-type Brier scores,Intercept,0.09492617998199805,0.016991845081733885,5.586572825104381,5.285079777523514e-07,0.060970687062937574,0.12888167290105854
OLS on aggregated question-type Brier scores,C(Question_Type)[T.Trend_Detection],-0.040950860695499997,0.01774740337314353,-2.3074282944100646,0.024328774272195975,-0.07641621638052207,-0.005485505010477926
OLS on aggregated question-type Brier scores,C(Question_Type)[T.Outlier_Detection],0.15589382184444175,0.01774740337314352,8.784035532789547,1.5328618938143869e-12,0.1204284661594197,0.1913591775294638
OLS on aggregated question-type Brier scores,C(Question_Type)[T.ECR],-0.0617636174940003,0.014490694174516889,-4.262295287593388,6.895969563553286e-05,-0.09072095915220652,-0.03280627583579408
OLS on aggregated question-type Brier scores,C(Visualization_Type)[T.Color_Map],-0.0131214741891254,0.01449069417451688,-0.9055103938499116,0.3686451494103421,-0.0420788158473316,0.015835867469080802
OLS on aggregated question-type Brier scores,C(Visualization_Type)[T.Isoline],-0.030272222224053208,0.014490694174516884,-2.08908019584662,0.0407456987295656,-0.05922956388225942,-0.0013148805658469986
OLS on aggregated question-type Brier scores,C(Visualization_Type)[T.Line_Graph],-0.05456796296077371,0.014490694174516879,-3.765724561128074,0.0003675129024794404,-0.0835253046189799,-0.02561062130256751
OLS on aggregated question-type Brier scores,C(Model)[T.GPT],-0.016208755471275225,0.012549309273602824,-1.291605387825604,0.2012124396379014,-0.041286548973347256,0.008869038030796809
OLS on aggregated question-type Brier scores,C(Model)[T.Gemini],0.0247541611974202,0.012549309273602769,1.9725516885212242,0.05293915494227432,-0.00032363230465172477,0.04983195469949212
