Visualization_Type,Adjusted_Mean_ECR_Brier,CI_Lower,CI_Upper,Raw_Mean_ECR_Brier,Raw_SD_ECR_Brier,N
Isoline,0.025900000000000038,-0.0014253395863587043,0.05322533958635878,0.0259,0.12114812551008267,90
Color_Map,0.019871111111111114,-0.008361537945171745,0.048103760167393976,0.01987111111111111,0.1077332882782566,90
Arrow_Glyph,0.01363222222222227,-0.004079130336272498,0.03134357478071704,0.013632222222222223,0.032294278297193446,90
Line_Graph,0.003896666666666685,-0.012918474798504997,0.020711808131838365,0.0038966666666666668,0.012073273017219261,90
